page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
 175    77 image    2000  1400  icc     3   8  image  no       958  0   308   308  179K 2.2%
 176    78 image    2000   919  icc     3   8  image  no       961  0   308   307  124K 2.3%
 178    79 image    2000  1400  icc     3   8  image  no       967  0   308   308  157K 1.9%
 179    80 image    2000  1200  icc     3   8  image  no       970  0   308   307  121K 1.7%
 180    81 image    2000  1200  icc     3   8  image  no       973  0   308   307  117K 1.7%
 181    82 image    2000  1800  icc     3   8  image  no       976  0   308   308  187K 1.8%
 186    83 image    2000  1280  icc     3   8  image  no       989  0   308   307  251K 3.3%
 188    84 image    2000  1880  icc     3   8  image  no       994  0   308   307  232K 2.1%
 189    85 image    2000  1000  icc     3   8  image  no       997  0   308   308 82.7K 1.4%
 190    86 image    2000  1560  icc     3   8  image  no      1001  0   308   308  295K 3.2%
 191    87 image    2000  1240  icc     3   8  image  no      1004  0   308   308  286K 3.9%
 193    88 image    2000  1736  icc     3   8  image  no      1013  0   308   308  115K 1.1%
 194    89 image    2000  1736  icc     3   8  image  no      1016  0   308   308  125K 1.2%
 195    90 image    2048  1667  icc     3   8  image  no      1019  0   315   315  184K 1.8%
 201    91 image    2048  2040  icc     3   8  image  no      1034  0   315   315  205K 1.7%
 201    92 smask    2048  2040  gray    1   8  image  no      1034  0   315   315 4075B 0.1%
 202    93 image    2048   807  icc     3   8  image  no      1038  0   315   316 97.9K 2.0%
 202    94 smask    2048   807  gray    1   8  image  no      1038  0   315   316 1627B 0.1%
 203    95 image    2000  1280  icc     3   8  image  no      1042  0   308   307 82.1K 1.1%
 204    96 image    2000  1400  icc     3   8  image  no      1046  0   308   308 98.9K 1.2%
 205    97 image    2000  1320  icc     3   8  image  no      1049  0   308   308 71.2K 0.9%
 207    98 image    2000  1200  icc     3   8  image  no      1058  0   308   307 70.7K 1.0%
 208    99 image    2000  1200  icc     3   8  image  no      1061  0   308   307 94.0K 1.3%
 210   100 image    2000  1200  icc     3   8  image  no      1068  0   308   307  147K 2.1%
 211   101 image    2000  1300  icc     3   8  image  no      1071  0   308   308  109K 1.4%
 212   102 image    2000  1150  icc     3   8  image  no      1075  0   308   308  123K 1.8%
 213   103 image    2000  1100  icc     3   8  image  no      1081  0   308   308  101K 1.6%
 214   104 image    2000  2000  icc     3   8  image  no      1087  0   317   317  222K 1.9%
 222   105 image    2000  1734  icc     3   8  image  no      1113  0   308   308  198K 1.9%
 225   106 image    2000  1905  icc     3   8  image  no      1122  0   308   307  194K 1.7%
 226   107 image    2000   808  icc     3   8  image  no      1125  0   308   308 94.2K 2.0%
 228   108 image    2000   827  icc     3   8  image  no      1131  0   308   307 99.3K 2.0%
 233   109 image    1906  1260  icc     3   8  image  no      1149  0   293   294  197K 2.8%
 234   110 image    1914  1914  icc     3   8  image  no      1152  0   294   294  541K 5.0%
 237   111 image    1970  1882  icc     3   8  image  no      1160  0   303   303  599K 5.5%
 238   112 image    2000  1260  icc     3   8  image  no      1163  0   308   308  134K 1.8%
 239   113 image    2004  1538  icc     3   8  image  no      1166  0   308   308  439K 4.9%
 241   114 image    2000  1200  icc     3   8  image  no      1171  0   308   307 95.3K 1.4%
 242   115 image    1954  1478  icc     3   8  image  no      1174  0   301   301  334K 3.9%
 243   116 image    2048  1126  icc     3   8  image  no      1177  0   315   315  178K 2.6%
 246   117 image    2000   726  icc     3   8  image  no      1184  0   308   307 75.4K 1.8%
 246   118 image    2000  1009  icc     3   8  image  no      1185  0   308   308  154K 2.6%
 247   119 image    2000  1240  icc     3   8  image  no      1188  0   308   308 92.2K 1.3%
 249   120 image    2000   844  icc     3   8  image  no      1196  0   308   308 98.2K 2.0%
 250   121 image    1216    56  icc     3   8  image  no      1199  0   196   185 22.2K  11%
 250   122 image    2000   577  icc     3   8  image  no      1200  0   308   308 63.4K 1.9%
 250   123 image    2000   589  icc     3   8  image  no      1201  0   308   307 66.1K 1.9%
 250   124 image    2000   595  icc     3   8  image  no      1202  0   308   309 24.8K 0.7%
 255   125 image    2000  1200  icc     3   8  image  no      1220  0   308   307 94.3K 1.3%
 257   126 image    2000  1200  icc     3   8  image  no      1229  0   308   308  116K 1.7%
 258   127 image    2000  1200  icc     3   8  image  no      1232  0   308   308  115K 1.6%
 260   128 image    2000  1300  icc     3   8  image  no      1241  0   308   308  119K 1.6%
 261   129 image    2000  1200  icc     3   8  image  no      1245  0   308   307 67.8K 1.0%
 263   130 image    2000  1200  icc     3   8  image  no      1252  0   308   307 94.6K 1.3%
 264   131 image    2000  1200  icc     3   8  image  no      1257  0   308   307 63.2K 0.9%
 265   132 image    2000  1240  icc     3   8  image  no      1262  0   308   308 80.1K 1.1%
 266   133 image    2000  1240  icc     3   8  image  no      1268  0   308   308 88.7K 1.2%
 267   134 image    2000  1200  icc     3   8  image  no      1273  0   308   307  103K 1.5%
 267   135 image    2000  1200  icc     3   8  image  no      1274  0   308   307  123K 1.8%
 268   136 image    2000  1200  icc     3   8  image  no      1277  0   308   307  112K 1.6%
 269   137 image    2000  1130  icc     3   8  image  no      1282  0   308   308 65.4K 1.0%
 270   138 image    2000  1200  icc     3   8  image  no      1285  0   308   307  120K 1.7%
 271   139 image    2000  1200  icc     3   8  image  no      1289  0   308   307  119K 1.7%
 272   140 image    2000  1400  icc     3   8  image  no      1296  0   308   308  172K 2.1%
 274   141 image    2000  1400  icc     3   8  image  no      1304  0   308   308  174K 2.1%
 275   142 image    2000  1300  icc     3   8  image  no      1308  0   308   308  283K 3.7%
 276   143 image    2000  1400  icc     3   8  image  no      1314  0   308   308  203K 2.5%
 277   144 image    2000  1400  icc     3   8  image  no      1319  0   308   308  199K 2.4%
 280   145 image    2000  1200  icc     3   8  image  no      1328  0   308   307 55.1K 0.8%
 281   146 image    2000  1200  icc     3   8  image  no      1331  0   308   307 85.2K 1.2%
 282   147 image    2000  1200  icc     3   8  image  no      1335  0   308   307 74.5K 1.1%
 283   148 image    2000  1400  icc     3   8  image  no      1340  0   308   308 82.6K 1.0%
 284   149 image    2000  1200  icc     3   8  image  no      1346  0   308   307 58.6K 0.8%
 285   150 image    2000  1200  icc     3   8  image  no      1349  0   308   307 87.4K 1.2%
 286   151 image    2000  1200  icc     3   8  image  no      1354  0   308   307 76.1K 1.1%
 287   152 image    2000  1200  icc     3   8  image  no      1358  0   308   307 82.9K 1.2%
 288   153 image    2000  1200  icc     3   8  image  no      1364  0   308   307 89.6K 1.3%
 289   154 image    2000  1200  icc     3   8  image  no      1367  0   308   307 98.7K 1.4%
 291   155 image    2000  1200  icc     3   8  image  no      1375  0   308   307 84.9K 1.2%
 293   156 image    2000   809  icc     3   8  image  no      1380  0   308   308  109K 2.3%
 294   157 image    2000  1200  icc     3   8  image  no      1383  0   308   307 92.7K 1.3%
 298   158 image    2000  1040  icc     3   8  image  no      1405  0   308   308 87.5K 1.4%
 298   159 image    2000  1200  icc     3   8  image  no      1406  0   308   307  118K 1.7%
 299   160 image    2000  1200  icc     3   8  image  no      1411  0   308   307 69.3K 1.0%
 300   161 image    2000  1200  icc     3   8  image  no      1416  0   308   307 87.6K 1.2%
 301   162 image    2000  1200  icc     3   8  image  no      1420  0   308   307 57.3K 0.8%
 302   163 image    2000  1200  icc     3   8  image  no      1426  0   308   307 70.7K 1.0%
 303   164 image    2000  1200  icc     3   8  image  no      1429  0   308   307 77.1K 1.1%
 304   165 image    2000  1200  icc     3   8  image  no      1432  0   308   307 76.4K 1.1%
 307   166 image    1754  2048  icc     3   8  image  no      1440  0   270   270  371K 3.5%
 308   167 image    2000  1200  icc     3   8  image  no      1443  0   308   307  118K 1.7%
